"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048705","GO:0048705","skeletal system morphogenesis","23/497","268/25730",0.0858208955223881,4.44300129133007,7.95176487023606,2.95871582565504e-09,3.08800639043467e-07,1.9979807481108e-07,"Hoxb8/Msx1/Axin2/Osr1/Sfrp1/Bmp4/Rarb/Dlx5/Hoxb6/Ext2/Hoxb2/Pax1/Col11a1/Dhrs3/Tgfb3/Vdr/Insig1/Mmp14/Ror2/Osr2/Cyp26b1/Wnt7a/Thbs1",23
"GO:0099054","GO:0099054","presynapse assembly","11/497","51/25730",0.215686274509804,11.1662129640589,10.1990669246674,2.96790958401187e-09,3.08800639043467e-07,1.9979807481108e-07,"Il1rapl2/Farp1/Nlgn1/Mdga2/Grid2/Arf6/Ntrk3/Cbln1/Pclo/Wnt7a/Fzd5",11
"GO:0060348","GO:0060348","bone development","22/497","253/25730",0.0869565217391304,4.50179336890911,7.85564477892109,5.13137717915916e-09,5.21767761353593e-07,3.3759060389205e-07,"Dmd/Evc/Msx1/Axin2/Bmp4/Rarb/Lox/Sulf2/Dlx5/Ext2/Zbtb16/Pax1/Ano6/Tjp2/Lrrk1/Dhrs3/Insig1/Mmp14/Osr2/Cyp26b1/Dym/Thbs1",22
"GO:0045598","GO:0045598","regulation of fat cell differentiation","17/497","154/25730",0.11038961038961,5.71493898455669,8.2361705231078,8.41110761715245e-09,8.36251010647557e-07,5.41065402272965e-07,"Wwtr1/Axin2/Sfrp1/Wnt5a/Rora/Rorc/Id2/Snai2/Mecom/Runx1t1/Lpl/Mkx/Zbtb16/Id4/Wif1/Insig1/Rreb1",17
"GO:0001667","GO:0001667","ameboidal-type cell migration","23/497","287/25730",0.0801393728222996,4.14886531733958,7.52863216574364,1.08871594910551e-08,1.05173762400673e-06,6.80488075199046e-07,"Amotl2/Tacstd2/Sema6d/Pmp22/Bmp4/Wnt5a/Pdlim1/Gdnf/Itga3/Prkce/Snai2/Erbb4/Sema6a/Arf6/Sema5a/Kank1/Sema7a/Ptk2/Phox2b/Sema3d/Thbs1/Itgb3/Rreb1",23
"GO:0010976","GO:0010976","positive regulation of neuron projection development","21/497","241/25730",0.0871369294605809,4.51113318917655,7.6857212765349,1.10486518391409e-08,1.05173762400673e-06,6.80488075199046e-07,"Dmd/Nlgn1/Magi2/Itpr1/Bmp4/Wnt5a/Alk/Itga3/Ntrk2/Kalrn/Arf6/Tenm3/Ntm/Camk1d/Ntrk3/Adcyap1/Dcc/Cpeb1/Lrrc7/Adamts1/Rgma",21
"GO:0040013","GO:0040013","negative regulation of locomotion","26/497","363/25730",0.0716253443526171,3.70808875290309,7.29267493310417,1.24353296536965e-08,1.15375186688433e-06,7.46492632033485e-07,"Tacstd2/Bmpr1a/Sema6d/Magi2/Ptprk/Sfrp1/Wnt5a/Thy1/Nr2f2/Nrg3/Cldn5/Pkp2/Erbb4/Ptprj/Gstp2/Sema5a/Kank1/Gata3/Nkx2-1/Ptk2/Adarb1/Epha4/Limch1/Bcr/Card10/Thbs1",26
"GO:0072009","GO:0072009","nephron epithelium development","16/497","139/25730",0.115107913669065,5.95920848834011,8.22775483525707,1.26360843713304e-08,1.15375186688433e-06,7.46492632033485e-07,"Wwtr1/Irx2/Tacstd2/Podxl/Magi2/Irx1/Osr1/Npnt/Bmp4/Gdnf/Myo1e/Pou3f3/Sall1/Gata3/Basp1/Pbx1",16
"GO:0030879","GO:0030879","mammary gland development","18/497","180/25730",0.1,5.17706237424547,7.89254314677882,1.47802362154747e-08,1.31523771822688e-06,8.50976101716095e-07,"Msx1/Pgr/Xdh/Bmp4/Wnt5a/Foxb1/Hk2/Id2/Epha2/Nrg3/Erbb4/Kalrn/Tnfrsf11a/Slc6a3/Gata3/Tgfb3/Vdr/Rreb1",18
"GO:0090287","GO:0090287","regulation of cellular response to growth factor stimulus","25/497","341/25730",0.0733137829912024,3.79550027437351,7.29321698841253,1.49926516829617e-08,1.31523771822688e-06,8.50976101716095e-07,"Dmd/Dok5/Msx1/Npnt/Sfrp1/Bmp4/Wnt5a/Spry4/Lox/Nr2f2/Onecut2/Itga3/Sema6a/Sulf2/Tbx20/Fgfbp3/Neo1/Gata3/Nkx2-1/Tgfb3/Onecut1/Rgma/Ccbe1/Thbs1/Itgb3",25
"GO:1905606","GO:1905606","regulation of presynapse assembly","9/497","35/25730",0.257142857142857,13.3124461052026,10.2296142619877,1.57378709121126e-08,1.35406220116907e-06,8.76096052799789e-07,"Il1rapl2/Farp1/Nlgn1/Mdga2/Grid2/Arf6/Ntrk3/Cbln1/Wnt7a",9
"GO:0007178","GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","28/497","420/25730",0.0666666666666667,3.45137491616365,7.10875447192911,1.61885170767947e-08,1.36655519625622e-06,8.84179184929206e-07,"Wwtr1/Bmpr1a/Magi2/Ptprk/Msx1/Npnt/Sfrp1/Bmp4/Wnt5a/Gdnf/Lox/Egr1/Cldn5/Onecut2/Itga3/Nfia/Tbx20/Dlx5/Neo1/Pdcd4/Nkx2-1/Ptk2/Tgfb3/Onecut1/Rgma/Ror2/Rbpms/Thbs1",28
"GO:0045664","GO:0045664","regulation of neuron differentiation","21/497","250/25730",0.084,4.3487323943662,7.46716830021318,2.10160401082936e-08,1.74121784156492e-06,1.12659084401184e-06,"Dmd/Mib1/Nlgn1/Eif4enif1/Sfrp1/Bmp4/Alk/Gdnf/Id2/Ptger3/Fezf2/Id4/Sall1/Rgs6/Lmx1a/Phox2b/Sox3/Map1b/Six3/Pbx1/Fezf1",21
"GO:0141091","GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","26/497","378/25730",0.0687830687830688,3.56094237381964,7.0395483626253,2.83033451259552e-08,2.3023484744277e-06,1.48964974347133e-06,"Bmpr1a/Magi2/Ptprk/Msx1/Npnt/Sfrp1/Bmp4/Wnt5a/Gdnf/Lox/Egr1/Cldn5/Onecut2/Itga3/Nfia/Tbx20/Dlx5/Neo1/Pdcd4/Nkx2-1/Ptk2/Tgfb3/Onecut1/Rgma/Ror2/Thbs1",26
"GO:0048593","GO:0048593","camera-type eye morphogenesis","17/497","169/25730",0.100591715976331,5.20769587941852,7.70200823834918,3.40574950973141e-08,2.71092038809544e-06,1.75400114515739e-06,"Aldh1a1/Rorb/Sox1/Adamts9/Bmp4/Rarb/Thy1/Epha2/Hcn1/Ntrk2/Col8a1/Cryaa/Fat1/Tenm3/Fat3/Six3/Fzd5",17
"GO:0043583","GO:0043583","ear development","22/497","281/25730",0.0782918149466192,4.05321609371532,7.22238351299937,3.45378770946446e-08,2.71092038809544e-06,1.75400114515739e-06,"Igfbp7/Msx1/Osr1/Bmp4/Wnt5a/Ece1/Eya4/Kcnq1/Dlx5/Ntrk3/Col11a1/Gata3/Dlx6/Phox2b/Insig1/Mapkapk2/Epha4/Mafb/Ror2/Osr2/Bcr/Psap",22
