"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060996","GO:0060996","dendritic spine development","8/416","140/25730",0.0571428571428571,3.53434065934066,3.8545314807328,0.00204243169537055,0.0270778827834095,0.0201539272232883,"Sipa1l1/Dlg4/Itsn1/Disc1/Arhgap33/Iqsec1/Asap1/Smad3",8
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","11/416","242/25730",0.0454545454545455,2.81140734265734,3.62939016913827,0.00206348691146589,0.0272733652335033,0.0202994237934646,"Men1/Rcc2/Lrp1/Notch1/Vegfa/Prkce/Dusp22/Disc1/Ptpn11/Smad3/Gcnt2",11
"GO:0001837","GO:0001837","epithelial to mesenchymal transition","9/416","173/25730",0.0520231213872832,3.21768008003557,3.75184373389408,0.00209302523570729,0.0274122880870512,0.0204028233503077,"Notch1/Vegfa/Smad7/Tgfbr2/Lef1/Spred2/Smad3/Gcnt2/Fbxo11",9
"GO:0032635","GO:0032635","interleukin-6 production","9/416","173/25730",0.0520231213872832,3.21768008003557,3.75184373389408,0.00209302523570729,0.0274122880870512,0.0204028233503077,"Syk/Nod2/Laptm5/Cyba/Flt3/Ptpn6/P2rx7/Il17ra/Hspd1",9
"GO:0032675","GO:0032675","regulation of interleukin-6 production","9/416","173/25730",0.0520231213872832,3.21768008003557,3.75184373389408,0.00209302523570729,0.0274122880870512,0.0204028233503077,"Syk/Nod2/Laptm5/Cyba/Flt3/Ptpn6/P2rx7/Il17ra/Hspd1",9
"GO:0060070","GO:0060070","canonical Wnt signaling pathway","13/416","317/25730",0.0410094637223975,2.53647476340694,3.52861946222055,0.00210979203307206,0.0275484023170316,0.0205041324632477,"Rnf220/Hdac1/Notch1/Smad7/Btrc/Lef1/Siah2/Disc1/Frat2/Smad3/Apc2/Jade1/Ubac2",13
"GO:0055022","GO:0055022","negative regulation of cardiac muscle tissue growth","4/416","34/25730",0.117647058823529,7.27658371040724,4.69469900250979,0.00212817504579095,0.0276215391829084,0.0205585678518639,"Tgfbr2/Vgll4/Yy1/Foxp1",4
"GO:0061117","GO:0061117","negative regulation of heart growth","4/416","34/25730",0.117647058823529,7.27658371040724,4.69469900250979,0.00212817504579095,0.0276215391829084,0.0205585678518639,"Tgfbr2/Vgll4/Yy1/Foxp1",4
"GO:0001649","GO:0001649","osteoblast differentiation","11/416","245/25730",0.0448979591836735,2.7769819466248,3.58262596994855,0.00227084551649617,0.0293850129410073,0.0218711121916555,"Men1/Notch1/Fosl2/Vegfa/Mef2d/Lef1/Gpnmb/Runx2/Smad6/Smad3/Map3k7",11
"GO:0032868","GO:0032868","response to insulin","13/416","320/25730",0.040625,2.5126953125,3.49061418057143,0.0022895189732334,0.0295382119472082,0.0219851374146152,"Ptpre/Alas1/Rhoq/Prkcd/Akt2/Gck/Prkcq/Sorl1/Ptpn11/Hmga1/C2cd5/Grb2/Agrp",13
"GO:0010631","GO:0010631","epithelial cell migration","7/416","112/25730",0.0625,3.86568509615385,3.89621215254168,0.00232327872136621,0.0297830734210829,0.0221673865351882,"Kit/Tgfbr2/Prkce/Ppard/Iqsec1/Ptpn11/Il4",7
"GO:0032755","GO:0032755","positive regulation of interleukin-6 production","7/416","112/25730",0.0625,3.86568509615385,3.89621215254168,0.00232327872136621,0.0297830734210829,0.0221673865351882,"Syk/Nod2/Laptm5/Cyba/P2rx7/Il17ra/Hspd1",7
"GO:0014812","GO:0014812","muscle cell migration","8/416","143/25730",0.0559440559440559,3.46019365250134,3.78185922493438,0.00233150907875423,0.0297830734210829,0.0221673865351882,"Lrp1/Ppard/Trib1/Sorl1/Pde4d/P2ry6/Map3k7/Stat5b",8
"GO:0090257","GO:0090257","regulation of muscle system process","12/416","283/25730",0.0424028268551237,2.6226556129383,3.51867382340806,0.00234989303621437,0.0297830734210829,0.0221673865351882,"Nr4a1/Notch1/Nos3/Kit/Smad7/Anxa6/Pde4d/Yy1/Smad3/Fkbp1a/Agrn/Foxp1",12
"GO:0006195","GO:0006195","purine nucleotide catabolic process","9/416","176/25730",0.0511363636363636,3.16283326048951,3.69086074078566,0.00235136998603277,0.0297830734210829,0.0221673865351882,"Ncf1/Pde10a/Prkag2/P2rx7/Gck/Pde4d/Ncf2/Zbtb7a/Nudt15",9
"GO:0001865","GO:0001865","NK T cell differentiation","3/416","17/25730",0.176470588235294,10.9148755656109,5.24219394850464,0.00241054126391632,0.0297830734210829,0.0221673865351882,"Fosl2/Tgfbr2/Psap",3
"GO:0002371","GO:0002371","dendritic cell cytokine production","3/416","17/25730",0.176470588235294,10.9148755656109,5.24219394850464,0.00241054126391632,0.0297830734210829,0.0221673865351882,"Nod2/Kit/Ddx21",3
"GO:0002730","GO:0002730","regulation of dendritic cell cytokine production","3/416","17/25730",0.176470588235294,10.9148755656109,5.24219394850464,0.00241054126391632,0.0297830734210829,0.0221673865351882,"Nod2/Kit/Ddx21",3
"GO:0034134","GO:0034134","toll-like receptor 2 signaling pathway","3/416","17/25730",0.176470588235294,10.9148755656109,5.24219394850464,0.00241054126391632,0.0297830734210829,0.0221673865351882,"Pik3ap1/Nod2/Cyba",3
"GO:0060947","GO:0060947","cardiac vascular smooth muscle cell differentiation","3/416","17/25730",0.176470588235294,10.9148755656109,5.24219394850464,0.00241054126391632,0.0297830734210829,0.0221673865351882,"Notch1/Vegfa/Smad6",3
"GO:2000379","GO:2000379","positive regulation of reactive oxygen species metabolic process","6/416","84/25730",0.0714285714285714,4.41792582417582,4.02226044755983,0.00242376554739035,0.0297830734210829,0.0221673865351882,"Syk/Tgfbr2/Cyba/Prkcd/Il4/Grb2",6
"GO:0050767","GO:0050767","regulation of neurogenesis","17/416","483/25730",0.0351966873706004,2.17694895684026,3.34737242811529,0.00243464275992057,0.0297830734210829,0.0221673865351882,"Dynlt1b/Dlg4/Lrp1/Hdac1/Notch1/Vegfa/Kit/Lef1/Runx2/Disc1/Sorl1/E2f1/Ttc3/Lig4/Prkch/Tenm4/Btg2",17
"GO:0001776","GO:0001776","leukocyte homeostasis","8/416","144/25730",0.0555555555555556,3.43616452991453,3.75806592937684,0.00243468122930738,0.0297830734210829,0.0221673865351882,"Men1/Tnfrsf13c/Nkx2-3/Cd44/Flt3/Sh2b3/P2rx7/Stat5b",8
"GO:0030218","GO:0030218","erythrocyte differentiation","9/416","177/25730",0.0508474576271186,3.14496414602347,3.67082308127455,0.00244289929266548,0.0297830734210829,0.0221673865351882,"Alas1/Vegfa/Kit/Sh2b3/Tcf3/Kat7/Hmga1/Zbtb7a/Stat5b",9
"GO:0042102","GO:0042102","positive regulation of T cell proliferation","7/416","113/25730",0.0619469026548673,3.83147549353302,3.86692390275794,0.00244305047516331,0.0297830734210829,0.0221673865351882,"Tnfrsf13c/Syk/Tgfbr2/Prkcq/Icosl/Il4/Stat5b",7
"GO:0061515","GO:0061515","myeloid cell development","7/416","113/25730",0.0619469026548673,3.83147549353302,3.86692390275794,0.00244305047516331,0.0297830734210829,0.0221673865351882,"Alas1/Kit/Ptpn6/Sh2b3/Ptpn11/Zbtb7a/Foxp1",7
"GO:1900182","GO:1900182","positive regulation of protein localization to nucleus","7/416","113/25730",0.0619469026548673,3.83147549353302,3.86692390275794,0.00244305047516331,0.0297830734210829,0.0221673865351882,"Ifnar2/Prkcd/Uaca/Trim8/Prkcq/Kat7/Mepce",7
"GO:0010828","GO:0010828","positive regulation of D-glucose transmembrane transport","5/416","58/25730",0.0862068965517241,5.33197944297082,4.23397474023862,0.00244631908016761,0.0297830734210829,0.0221673865351882,"Rhoq/Prkcd/Akt2/Ptpn11/C2cd5",5
"GO:0021587","GO:0021587","cerebellum morphogenesis","5/416","58/25730",0.0862068965517241,5.33197944297082,4.23397474023862,0.00244631908016761,0.0297830734210829,0.0221673865351882,"Rora/Rfx4/Psap/Cacna1a/Ptpn11",5
"GO:0050853","GO:0050853","B cell receptor signaling pathway","5/416","58/25730",0.0862068965517241,5.33197944297082,4.23397474023862,0.00244631908016761,0.0297830734210829,0.0221673865351882,"Syk/Ptpn6/Grb2/Prkch/Foxp1",5
"GO:0055074","GO:0055074","calcium ion homeostasis","14/416","363/25730",0.0385674931129477,2.38543653316381,3.40787082506927,0.00254173603450695,0.0308081935994582,0.0229303781485044,"Cyba/Prkce/Mcur1/Ptpn6/Disc1/Anxa6/Slc34a1/P2rx7/Cacna1a/Pde4d/Fkbp1a/P2ry6/Smdt1/Atp2a3",14
"GO:0051222","GO:0051222","positive regulation of protein transport","13/416","324/25730",0.0401234567901235,2.48167438271605,3.44060535851827,0.00254854669690218,0.0308081935994582,0.0229303781485044,"Lrp1/Prkce/Ppard/Cep131/Prkcd/Uaca/P2rx7/Anp32b/Gck/Prkcq/Sorl1/Frmd4a/Osbp",13
"GO:0007519","GO:0007519","skeletal muscle tissue development","10/416","213/25730",0.0469483568075117,2.90380101119538,3.57663217403841,0.00257200803392289,0.0308081935994582,0.0229303781485044,"Nr4a1/Notch1/Mef2d/Psma6/Lemd2/Myh15/Ccnt2/Foxp1/Btg2/Usp19",10
"GO:0043087","GO:0043087","regulation of GTPase activity","6/416","85/25730",0.0705882352941176,4.36595022624434,3.98468074927058,0.00257301949718652,0.0308081935994582,0.0229303781485044,"Rcc2/Sipa1l1/Rgs1/Agrn/Sh3bp1/Apc2",6
"GO:0048844","GO:0048844","artery morphogenesis","6/416","85/25730",0.0705882352941176,4.36595022624434,3.98468074927058,0.00257301949718652,0.0308081935994582,0.0229303781485044,"Lrp1/Notch1/Vegfa/Smad7/Tgfbr2/Kat6a",6
"GO:0002822","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","11/416","249/25730",0.0441767068273092,2.7323717948718,3.52135876868199,0.00257328965511439,0.0308081935994582,0.0229303781485044,"Tnfrsf13c/Nod2/Smad7/Ptpn6/Fcgr1/Dusp22/P2rx7/Prkcq/Il4/Hspd1/Map3k7",11
"GO:0003176","GO:0003176","aortic valve development","4/416","36/25730",0.111111111111111,6.87232905982906,4.51984461761461,0.00263541482966971,0.0308251805655087,0.0229430214589237,"Notch1/Nos3/Tgfbr2/Smad6",4
"GO:0051491","GO:0051491","positive regulation of filopodium assembly","4/416","36/25730",0.111111111111111,6.87232905982906,4.51984461761461,0.00263541482966971,0.0308251805655087,0.0229430214589237,"Dpysl3/Rhoq/Prkcq/Agrn",4
"GO:0070316","GO:0070316","regulation of G0 to G1 transition","4/416","36/25730",0.111111111111111,6.87232905982906,4.51984461761461,0.00263541482966971,0.0308251805655087,0.0229430214589237,"Dpf1/Bcl7c/Arid1a/Smarce1",4
"GO:0070841","GO:0070841","inclusion body assembly","4/416","36/25730",0.111111111111111,6.87232905982906,4.51984461761461,0.00263541482966971,0.0308251805655087,0.0229430214589237,"Psap/Dyrk1a/Cdc34/Sorl1",4
"GO:0090162","GO:0090162","establishment of epithelial cell polarity","4/416","36/25730",0.111111111111111,6.87232905982906,4.51984461761461,0.00263541482966971,0.0308251805655087,0.0229430214589237,"Cyth1/Pard3/Frmd4a/Sh3bp1",4
"GO:0010718","GO:0010718","positive regulation of epithelial to mesenchymal transition","5/416","59/25730",0.0847457627118644,5.24160691003911,4.18131379517193,0.0026379650218174,0.0308251805655087,0.0229430214589237,"Notch1/Tgfbr2/Lef1/Smad3/Gcnt2",5
"GO:0030850","GO:0030850","prostate gland development","5/416","59/25730",0.0847457627118644,5.24160691003911,4.18131379517193,0.0026379650218174,0.0308251805655087,0.0229430214589237,"Notch1/Cd44/Plaur/Psap/Fem1b",5
"GO:0044331","GO:0044331","cell-cell adhesion mediated by cadherin","5/416","59/25730",0.0847457627118644,5.24160691003911,4.18131379517193,0.0026379650218174,0.0308251805655087,0.0229430214589237,"Notch1/Vegfa/Smad7/Cdh15/Flot1",5
